date,status,episode,summary,sectors,tickers,signal,risk
2026-05-11,無新集數,EP660延續,無新集數；延續追蹤前一集主題。,NVIDIA供應鏈/成熟製程/被動元件/資金槓桿,NVIDIA/瑞昱/聯詠/聯電/世界先進/環球晶,追蹤高位階族群是否汰弱留強。,若當日有社群貼文需另補。
2026-05-12,無新集數,EP660延續,無新集數；延續追蹤前一集主題。,NVIDIA供應鏈/成熟製程/被動元件/資金槓桿,NVIDIA/瑞昱/聯詠/聯電/世界先進/環球晶,追蹤高位階族群是否汰弱留強。,若當日有社群貼文需另補。
2026-05-13,有新集數,EP661,被動元件排擠效應深化；AI Server換代導致高規MLCC產能集中。,被動元件/NVIDIA供應鏈/光通訊/權值股防守,國巨/台系被動元件/NVIDIA/台積電,海外族群先強台股後跟；光通訊可能是下一個setup。,漲價要拆成需求驅動與成本驅動；動能不動時需準備權值股避風港。
2026-05-14,無新集數,EP661延續,無新集數；延續追蹤前一集主題。,被動元件/NVIDIA供應鏈/光通訊/權值股防守,國巨/台系被動元件/NVIDIA/台積電,追蹤被動元件與光通訊是否接續輪動。,若當日有社群貼文需另補。
2026-05-15,無新集數,EP661延續,無新集數；延續追蹤前一集主題。,被動元件/NVIDIA供應鏈/光通訊/權值股防守,國巨/台系被動元件/NVIDIA/台積電,追蹤被動元件與光通訊是否接續輪動。,若當日有社群貼文需另補。
2026-05-16,有新集數,EP662,大跌不恐慌；重點看市場反應與資金輪動；被動元件進入漲價三階段觀察。,被動元件/PMIC電源/資安SaaS/台積電資金效應,台積電/老AI/投信中小型股/CrowdStrike/Figma,追創新高領導族群；被動元件看現貨漲價、漲價信、控貨停單。,投信資金流向台積電可能造成老AI與投信中小型股提款。
2026-05-17,無新集數,EP662延續,無新集數；延續追蹤前一集主題。,被動元件/PMIC電源/資安SaaS/台積電資金效應,台積電/老AI/投信中小型股/CrowdStrike/Figma,追蹤領導族群是否創高續強。,若當日有社群貼文需另補。
2026-05-18,無新集數,EP662延續,無新集數；延續追蹤前一集主題。,被動元件/PMIC電源/資安SaaS/台積電資金效應,台積電/老AI/投信中小型股/CrowdStrike/Figma,追蹤領導族群是否創高續強。,若當日有社群貼文需另補。
2026-05-19,無新集數,EP662延續,無新集數；延續追蹤前一集主題。,被動元件/PMIC電源/資安SaaS/台積電資金效應,台積電/老AI/投信中小型股/CrowdStrike/Figma,追蹤領導族群是否創高續強。,若當日有社群貼文需另補。
2026-05-20,有新集數,EP663,被動元件進入明確上升循環；但股價漲多後不宜再亂喊多。,被動元件/AI硬體供應鏈/光通訊/老AI,國巨/華新科/鈺邦/立隆電/日電貿/Panasonic/Broadcom/NVIDIA,漲價函、現貨掃貨、高階料號斷供、交期拉長；防守關鍵是是否大規模擴產。,若出現大規模且有共識擴產會是中期風險；光通短期回檔正常但不能過度追高。
2026-05-21,無新集數,EP663延續,無新集數；延續追蹤前一集主題。,被動元件/AI硬體供應鏈/光通訊/老AI,國巨/華新科/鈺邦/立隆電/日電貿/Panasonic/Broadcom/NVIDIA,追蹤被動元件漲價與族群擴散是否被股價驗證。,若當日有社群貼文需另補。
2026-05-22,無新集數,EP663延續,無新集數；延續追蹤前一集主題。,被動元件/AI硬體供應鏈/光通訊/老AI,國巨/華新科/鈺邦/立隆電/日電貿/Panasonic/Broadcom/NVIDIA,追蹤被動元件漲價與族群擴散是否被股價驗證。,若當日有社群貼文需另補。
2026-05-23,無新集數,EP663延續,無新集數；延續追蹤前一集主題。,被動元件/AI硬體供應鏈/光通訊/老AI,國巨/華新科/鈺邦/立隆電/日電貿/Panasonic/Broadcom/NVIDIA,追蹤被動元件漲價與族群擴散是否被股價驗證。,若當日有社群貼文需另補。
